Source,Target,Type,Id,Label,timeset,Weight,d11,d10,d9,d8,d7,d6,d5,d4,d3,d2,d1,d0
347405284,5899849294,Undirected,0,,,1,,,,,,,,26.481,secondary,خیابان انقلاب,True,133915998
347405284,1473522235,Undirected,1,,,1,,,,,"LINESTRING (55.993188 30.4087447, 55.993131 30.4086911, 55.993096 30.408625, 55.9930864 30.4085527, 55.9931032 30.4084815, 55.9931447 30.4084182)",roundabout,82,40.424,secondary,میدان ابراهیم,True,133916015
347405284,1473522238,Undirected,2,,,1,,,,,"LINESTRING (55.9935666 30.4087074, 55.9935044 30.4087565, 55.9934277 30.4087867, 55.993344 30.408795, 55.9932614 30.4087805, 55.993188 30.4087447)",roundabout,82,40.423,secondary,میدان ابراهیم,True,133916015
5899849294,6549038938,Undirected,7991,,,1,,,,,"LINESTRING (55.9915044 30.4082273, 55.9920529 30.408554, 55.9920886 30.4086772, 55.9925381 30.4089238, 55.9927058 30.4088468, 55.992988 30.4089089)",,,175.285,tertiary,مسجد امام,False,624779702
1473522235,5904864226,Undirected,564,,,1,,,,,"LINESTRING (55.9924108 30.4079307, 55.9927112 30.4081302, 55.9931447 30.4084182)",,,88.83699999999999,primary,خیابان شهدا,True,628933929
1473522238,4633372904,Undirected,565,,,1,,,,,,,82,89.057,secondary,سعدی,False,133915997
415896339,5887570814,Undirected,3,,,1,,,,,"LINESTRING (56.043421 30.3665398, 56.045733 30.3670332, 56.0462146 30.367103, 56.0466671 30.3670822, 56.047596 30.36691, 56.0518774 30.366084, 56.0521653 30.3660285)",,,859.179,trunk,بلوار آیت الله هاشمی رفسنجانی,True,200911104
415896339,2108742870,Undirected,4,,,1,,,,,"LINESTRING (56.043421 30.3665398, 56.0436601 30.36672, 56.0437912 30.3669676, 56.0438154 30.367239, 56.0437072 30.3674966, 56.0434959 30.3676996, 56.0432913 30.3678585, 56.0430904 30.367983, 56.0428829 30.3680697, 56.0426937 30.3681368)",roundabout,82,243.68599999999998,trunk,میدان امام حسین,True,200911228
415896339,2108742838,Undirected,5,,,1,,,,,,roundabout,82,19.796,trunk,میدان امام حسین,True,200911228
5887570814,5887570841,Undirected,7571,,,1,,,,,"LINESTRING (56.0490691 30.3622823, 56.0511183 30.3645817, 56.0520638 30.3656796, 56.0521653 30.3660285)",,,514.626,residential,,False,623419303
2108742870,2108742873,Undirected,919,,,1,,,,,"LINESTRING (56.0426937 30.3681368, 56.0424868 30.3681898, 56.0422853 30.3682321)",roundabout,82,40.602000000000004,trunk,میدان امام حسین,True,200911228
2108742870,5888716390,Undirected,920,,,1,,,,,"LINESTRING (56.0442073 30.3695671, 56.043098 30.3685469, 56.0426937 30.3681368)",,,215.413,residential,شهید یوسفی,False,623563946
2108742838,2108742844,Undirected,905,,,1,,,,,"LINESTRING (56.0406926 30.3673052, 56.0411598 30.3667741, 56.0413606 30.3666496, 56.0415681 30.3665628, 56.0417641 30.36649, 56.0419642 30.3664428, 56.0421658 30.3664005, 56.0423782 30.3663824, 56.0426084 30.3663717, 56.0432384 30.3664569)",roundabout,82,284.04099999999994,trunk,میدان امام حسین,True,200911228
2108742838,5400550983,Undirected,906,,,1,,,,,"LINESTRING (56.0419477 30.3659411, 56.0423371 30.3662049, 56.0432384 30.3664569)",,,138.397,trunk,,True,824758639
433045967,2108745134,Undirected,6,,,1,,,,,,,,184.886,secondary,بلوار محمدی,True,624730368
433045967,6547708569,Undirected,7,,,1,,,,,,,,167.775,residential,شهید محمدی 25,False,697153111
433045967,5887447220,Undirected,8,,,1,,,,,,,,25.919,secondary,بلوار محمدی,True,624730368
2108745134,7296375394,Undirected,1592,,,1,,,,,,,,81.173,secondary,بلوار محمدی,True,624730368
2108745134,7296375395,Undirected,1593,,,1,,,,,"LINESTRING (55.9656429 30.4344683, 55.9662357 30.4347979, 55.9668222 30.4351111, 55.9669837 30.4351545)",,,149.98499999999999,residential,"['عابدینی ۳', 'شهید محمدی 27']",False,"[1005562985, 781495345]"
5887447220,5887448605,Undirected,7026,,,1,,,,,"LINESTRING (55.9654423 30.43859, 55.9670151 30.4373039, 55.9675014 30.436997)",,,265.592,residential,شهید محمدی 23,False,623407813
5887447220,9277690167,Undirected,7027,,,1,,,,,,,,42.799,secondary,بلوار محمدی,True,624730368
433045968,7296361470,Undirected,9,,,1,,,,,,roundabout,,3.68,secondary,میدان امینی,True,200911134
433045968,2108745120,Undirected,10,,,1,,,,,"LINESTRING (55.9669808 30.4335274, 55.9669095 30.4335733, 55.9668258 30.4335993, 55.9667369 30.4336033, 55.9666505 30.4335849)",roundabout,,34.128,secondary,میدان امینی,True,200911134
433045968,7296375394,Undirected,11,,,1,,,,,"LINESTRING (55.9668204 30.4344382, 55.9667656 30.4342166, 55.9666505 30.4335849)",,,96.298,secondary,بلوار محمدی,True,624730368
7296361470,8363250417,Undirected,9939,,,1,,,,,"LINESTRING (55.966616 30.4335704, 55.9664154 30.4336603, 55.9663149 30.4337185, 55.9646956 30.4351947, 55.9616977 30.4379774)",,,681.528,secondary,بلوار شهید عابدینی,True,134084331
2108745120,5938164659,Undirected,1591,,,1,,,,,"LINESTRING (55.9669808 30.4335274, 55.9668891 30.4337435, 55.9668609 30.4338936)",,,42.495000000000005,secondary,بلوار محمدی,True,200911138
433045971,6485090635,Undirected,12,,,1,,,,,,,,49.058,secondary,بلوار مصطفی خمینی,True,133916006
433045971,4417576446,Undirected,13,,,1,,,,,,,,66.19,tertiary,خیابان شهریار,False,200911249
433045971,9247905835,Undirected,14,,,1,,,,,,,,71.874,secondary,بلوار مصطفی خمینی,True,133916006
6485090635,6485090637,Undirected,8979,,,1,,,,,,,,86.922,secondary,بلوار مصطفی خمینی,True,133916006
4417576446,6485090634,Undirected,2292,,,1,,,,30,,,,48.461,residential,شهریار ۲,False,444272487
433045972,2108744509,Undirected,15,,,1,,,,,"LINESTRING (55.9913347 30.4108598, 55.9913854 30.41091, 55.9914171 30.4109707, 55.991427 30.4110367, 55.9914143 30.4111024)",roundabout,,29.612,secondary,میدان انقلاب,True,133916014
433045972,2108744497,Undirected,16,,,1,,,,,"LINESTRING (55.9909629 30.4108854, 55.9910256 30.4108391, 55.9911018 30.4108118, 55.991184 30.4108061, 55.9912643 30.4108226, 55.9913347 30.4108598)",roundabout,,39.571000000000005,secondary,میدان انقلاب,True,133916014
433045972,5899849294,Undirected,17,,,1,,,,,,,,268.693,secondary,خیابان انقلاب,True,133915998
2108744509,7298615894,Undirected,1436,,,1,,,,,,roundabout,,8.88,secondary,میدان انقلاب,True,133916014
2108744509,9249692936,Undirected,1437,,,1,,,,,"LINESTRING (55.9914143 30.4111024, 55.9914772 30.4111426, 55.9919787 30.4113835)",,,62.557,tertiary,بلوار شریعتی شزقی,True,887873070
854462255,2108744475,Undirected,18,,,1,,,,30,,,,9.499,residential,,False,200911154
854462255,5618222444,Undirected,19,,,1,,,,,,,,64.486,tertiary,خیابان بنفشه,False,200911202
